No,Jabatan,Desa,Kecamatan,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
56,Kepala Desa,Sidomulyo,Sawahan,4,5,5,4,4,4,4,2,4,4,5,5,5,5,4,5,5,5,4,4
57,Kepala Desa ,Kanung,Sawahan ,2,4,2,2,3,2,4,4,3,2,2,4,3,4,2,5,5,2,3,2
58,Sekretaris Desa,Pucangrejo,Sawahan ,4,5,5,4,5,3,4,5,4,4,4,5,5,5,4,5,5,5,4,4
59,Kasi Rencana ,Rejosari,Sawahan ,5,5,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,4,4
60,Sekretaris Desa,Bancong,Wonoasri,4,4,4,4,4,1,4,4,4,3,4,4,4,4,3,5,5,5,5,5
61,Sekretaris Desa,Banyukambang,Wonoasri,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
62,Sekretaris Desa,Buduran,Wonoasri,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,4,4
63,Sekretaris Desa,Klitik,Wonoasri,4,4,4,2,2,4,4,4,2,2,1,1,2,4,3,4,3,3,3,4
64,Sekretaris desa,Ngadirejo,Wonoasri,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
65,Sekretaris Desa,Plumpungrejo,Wonoasri,4,5,4,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
66,Sekretaris Desa,Purwosari,Wonoasri,4,5,4,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
67,Perangkat Desa,Sidomulyo,Wonoasri,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5
